id;e_id;t_id;p_id;m_id;win_fg;plyr_nm;plyr_lvl;mtch_end_time;tot_matchs;tot_wins;acml_wins;chk_fg
1;89943;93402;99263;80596;connecting;Wooden payment Metal;PNG;2023-08-10T23:56:00;actuating;Concrete Generic;北路 福建省 extend;parsing
2;47010;95321;76059;98948;green Shoes;福建省;quantify Home;2023-08-10T11:21:11;payment calculating;福建省 Avon;Rupee;Bedfordshire Islands
3;33773;52419;96707;59336;bypass Expanded;Cheese application Rustic;Handcrafted;2023-08-10T20:34:10;Chief multimedia;Handmade;partnerships application Tasty;Balboa mobile
4;53720;36133;42560;80034;Account synthesizing;Team-oriented application transmitter;Accounts;2023-08-10T12:46:50;Tasty;Euro deliverables;Engineer Liberian Berkshire;deliver
5;31401;13279;20943;24588;structure;generate Borders override;killer;2023-08-11T00:21:52;primary feed;Concrete Wooden Group;mobile;Accounts 西路 discrete
6;88329;82885;39237;8587;Manager 福建省 福建省;Bulgaria digital;JSON convergence;2023-08-10T10:37:57;website benchmark payment;payment Iranian Engineer;Cambridgeshire;Orchestrator Rupee 福建省
7;83322;86441;69001;82783;Buckinghamshire 福建省 connecting;bus;magenta Designer deliverables;2023-08-11T00:59:08;Sharable input indigo;Mobility;Tasty virtual index;Granite portals optical
8;15643;31901;71048;11757;Account 台灣省 indexing;Industrial EXE;mobile;2023-08-10T15:14:09;台灣省;Rustic Future-proofed Switzerland;Shilling;Paradigm system reinvent
9;68089;42095;91656;16914;incentivize 福建省;福建省 Cambridgeshire deposit;Officer 台灣省;2023-08-10T20:43:12;Tools Taka streamline;GB;Shoes;Open-source Monitored relationships
10;10001;46258;81166;63712;PNG extend;recontextualize payment Savings;visualize Luxembourg;2023-08-10T10:00:38;Unbranded;Regional;hierarchy;eyeballs
