id;e_id;t_id;evnt_nm;evnt_dt;venue;m_id;mtch_end_time;w_plyr_1_id;w_plyr_1_lvl;w_plyr_1_nm;w_plyr_2_id;w_plyr_2_lvl;w_plyr_2_nm;vs;l_plyr_1_id;l_plyr_1_lvl;l_plyr_1_nm;l_plyr_2_id;l_plyr_2_lvl;l_plyr_2_nm;w_scr;l_scr
1;82388;81086;Health Lead eyeballs;2023-08-14T12:27:56;Lebanese concept;26832;2023-08-15T02:53:43;70257;payment Buckinghamshire fresh-thinking;capacitor;58609;Beauty;even-keeled mission-critical;intranet SQL;5903;payment;Bedfordshire interface;76641;Intelligent Hat;Cheese Table Configuration;well-modulated sensor;cyan Factors
2;13077;67903;Shirt Focused flexibility;2023-08-14T23:55:19;grow navigating;30149;2023-08-14T19:09:26;61205;Angola;Concrete strategy 北路;34842;Corporate Fresh;parsing ROI driver;French index;34461;Planner;Distributed;57035;福建省 路;Health Avon;Wooden Dollar Account;24/7 Visionary
3;42176;5108;array Computer 北路;2023-08-14T23:47:51;Bike;31041;2023-08-14T07:56:26;62609;Chief;Shirt;79003;integrate Sausages;aggregate parallelism;Borders Frozen;72783;interface deposit 24/365;CSS Handmade pixel;50326;e-tailers;user-centric;Implementation;Sausages
4;36045;43133;Granite;2023-08-14T18:22:46;Chicken Customer;93626;2023-08-14T09:21:18;19341;Designer Customer;framework sticky Engineer;23686;Intranet Cross-group generation;interfaces target calculating;Ball Granite;72585;Sleek Generic;Shirt Customizable Buckinghamshire;32176;partnerships best-of-breed blue;Metal Savings;French;sticky
5;2202;1899;Future Concrete deposit;2023-08-15T00:33:28;Soap customized Shoes;44206;2023-08-15T04:47:21;27226;transmit;Concrete Computers Associate;27066;Identity;Function-based Tasty circuit;Won;44407;Assistant;Accounts;99897;focus Peso;holistic Senior;haptic;generating conglomeration
6;78273;33393;adapter deposit;2023-08-15T04:33:55;Internal Specialist;71904;2023-08-14T21:15:44;40600;deposit syndicate mesh;Wooden;98828;東路;bypass;福建省;44279;cross-platform Soft copying;port;29179;user-facing Program scale;Product 福建省;port orchestrate Soft;EXE Palestinian
7;25901;23262;Digitized clear-thinking Steel;2023-08-15T03:18:25;Fish multi-state markets;96482;2023-08-14T23:40:44;93448;auxiliary parsing gold;Pants;41126;Extended optical;街 Communications;Chair Inverse;19680;IB Books;Concrete Kids;63200;structure 台灣省;deposit 南路 Chief;Multi-channelled 東路;東路 Chicken program
8;67582;23261;Libyan port;2023-08-15T05:11:29;withdrawal Innovative Monitored;90446;2023-08-14T07:52:23;86404;福建省 turquoise purple;multimedia Hat 福建省;88024;Plastic Customizable Fish;card Pound Account;withdrawal Fish system;33755;Japan back-end;Personal Shoes Re-engineered;22089;Berkshire;navigate Synchronised;Mouse;Associate
9;6980;73715;cross-platform Bacon;2023-08-14T15:45:32;mission-critical 路 Investor;35790;2023-08-14T18:01:22;98370;Pants Gloves Metal;Designer application turn-key;89718;Rwanda;Tuna;Metal;25008;Rustic fuchsia;Shirt Open-source Concrete;60554;invoice Mouse;Regional;Gloves Chief;SMTP Berkshire
10;77575;18815;Specialist;2023-08-14T07:33:50;福建省 orchestrate;88896;2023-08-14T23:45:56;9657;Rand optical capacity;indexing backing;30481;Interface;Savings copy uniform;niches;89775;Regional Supervisor Bulgaria;niches;903;Automated eyeballs Practical;Fantastic;compressing black Home;Corporate
